label,seed,protocol,wdr_mean_rate,gaba_mean_rate,wdr_peak_rate,wdr_isi_mean,wdr_isi_std,wdr_isi_cv,gaba_isi_mean,gaba_isi_std,gaba_isi_cv,wdr_windup_ratio,wdr_evoked_response,wdr_early_rate,wdr_late_rate,wdr_burst_count,wdr_burst_fraction,ei_ratio,wdr_active_fraction,wdr_total_spikes,gaba_total_spikes
healthy,897980838,ramp,7.64,12.9,66.0,60.83343195266272,78.39053635482315,1.2886094675017254,56.945098039215694,51.91745344071779,0.9117106691951681,0.04,0.002,0.0,14.0,5.0,0.04450261780104712,0.5922480620155038,0.88,382.0,387.0
healthy,1441227901,ramp,0.02,50.06666666666667,2.0,0.0,0.0,0.0,19.37302989130435,11.629552617389383,0.6002960137179857,0.04,0.002,0.0,0.0,0.0,0.0,0.00039946737683089215,0.02,1.0,1502.0
healthy,1734302301,ramp,0.02,37.56666666666667,2.0,0.0,0.0,0.0,26.10537830446673,15.51860113222801,0.5944599212941771,0.0,0.0,0.0,0.0,0.0,0.0,0.0005323868677905944,0.02,1.0,1127.0
healthy,611085711,constant,0.04,88.9,2.0,0.0,0.0,0.0,11.152332195676905,3.776709364036459,0.3386474952297838,0.08,0.004,0.0,0.0,0.0,0.0,0.0004499437570303712,0.02,2.0,2667.0
healthy,1165712302,constant,15.88,23.166666666666668,102.0,40.24738255033557,47.52548419018342,1.180834160600269,41.379398496240604,32.63519912907816,0.7886822988024615,0.0,0.0,2.0,22.0,59.0,0.2531486146095718,0.6854676258992806,0.98,794.0,695.0
healthy,1430200237,burst,0.0,36.333333333333336,0.0,0.0,0.0,0.0,26.980094339622642,18.6013153823423,0.6894458984535362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0
healthy,1319935423,mixed,0.0,153.43333333333334,0.0,0.0,0.0,0.0,6.474283839930024,1.5718505475379239,0.2427836941351822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4603.0
healthy,1174251112,ramp,0.0,68.5,0.0,0.0,0.0,0.0,14.208493827160492,6.7803242540974855,0.4772021817778067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0
healthy,435377213,mixed,0.0,116.16666666666667,0.0,0.0,0.0,0.0,8.521881331403762,2.451631417099632,0.28768664121913895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3485.0
healthy,2128978353,mixed,0.0,136.56666666666666,0.0,0.0,0.0,0.0,7.256847799360708,1.8555399403729111,0.2556950333912715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097.0
healthy,2081713331,mixed,0.0,197.9,0.0,0.0,0.0,0.0,5.020433384120535,1.0469496422952052,0.2085377022642452,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5937.0
healthy,479786383,mixed,0.0,176.56666666666666,0.0,0.0,0.0,0.0,5.626713499145624,1.1608226764878344,0.2063056305717533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5297.0
healthy,720660406,burst,0.32,2.466666666666667,8.0,100.86000000000001,137.79392729725063,1.3661900386402004,277.22391304347826,193.90679538822656,0.6994591240684757,0.0,0.0,0.3,0.0,0.0,0.0,0.12972972972972974,0.22,16.0,74.0
healthy,2035237819,constant,0.0,61.63333333333333,0.0,0.0,0.0,0.0,15.860747663551402,7.304065808913842,0.4605120744527612,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849.0
healthy,1915365262,constant,0.0,51.7,0.0,0.0,0.0,0.0,18.76397107166338,9.936045511377245,0.5295278634479603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0
healthy,1546031009,mixed,0.0,175.66666666666666,0.0,0.0,0.0,0.0,5.652175572519084,1.3249812902663831,0.2344196979139238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5270.0
healthy,688090756,mixed,0.0,87.43333333333334,0.0,0.0,0.0,0.0,11.340994986502121,3.949709515596244,0.34826834156060626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2623.0
healthy,374260298,constant,0.0,58.166666666666664,0.0,0.0,0.0,0.0,17.02985422740525,7.759642603336834,0.45564938488138373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0
healthy,2081577188,constant,0.02,69.16666666666667,2.0,0.0,0.0,0.0,14.268459657701712,5.801904065165145,0.40662441527340626,0.0,0.0,0.0,0.1,0.0,0.0,0.0002891566265060241,0.02,1.0,2075.0
healthy,1645376471,burst,0.0,50.1,0.0,0.0,0.0,0.0,19.659674134419554,10.106199983255376,0.5140573497890156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.0
healthy,931655425,constant,3.1,53.8,36.0,64.56444444444445,86.31235477991734,1.3368403542012393,18.11780303030303,8.275361154900203,0.45675301475897506,0.0,0.0,0.3,5.0,14.0,0.3161290322580645,0.057620817843866176,0.4,155.0,1614.0
